"","ageyrs_r","sex","student_r","area","educate_r","currmarr_r","sexp1yr","SEScat"
"85","18","male","no","0","1","0","13","0"
"86","17","male","no","0","1","0"," 9","2"
"87","19","male","yes","0","1","0"," 1","1"
"88","17","male","yes","0","1","0"," 0","0"
"89","16","male","yes","0","1","0"," 0","1"
"90","19","male","no","0","1","0"," 4","1"
"91","19","male","no","0","1","0"," 1","1"
"92","17","male","no","0","1","0"," 9","2"
"93","18","male","yes","1","1","0"," 1","2"
"94","15","male","yes","0","1","0"," 0","3"
"95","16","male","yes","0","1","0"," 1","2"
"96","17","male","yes","0","1","0"," 2","3"
"97","18","male","no","0","1","0","16","2"
"98","16","male","yes","1","1","0"," 0","3"
"99","17","male","no","1","1","0"," 8","3"
"100","19","male","no","0","1","0"," 1","3"
"101","16","male","yes","0","1","0"," 0","2"
"102","19","male","yes","0","1","0","17","3"
"103","17","male","yes","0","1","0"," 0","3"
"104","17","male","no","0","1","0"," 1","2"
"105","15","male","yes","0","1","0"," 0","2"
"106","17","male","yes","0","1","0"," 0","1"
"107","19","male","no","1","1","0"," 1","1"
"108","18","male","no","0","1","0","18","1"
"109","19","male","yes","0","1","0"," 0","2"
"110","16","male","yes","1","1","0"," 0","1"
"111","17","male","no","0","1","0"," 1","1"
"112","15","male","no","0","1","0","10","0"
"113","17","male","no","0","1","0","11","1"
"114","19","male","no","0","0","0"," 2","0"
"115","16","male","yes","1","1","0"," 0","2"
"116","15","male","yes","0","1","0"," 0","0"
"117","16","male","yes","0","1","0"," 0","1"
"118","17","male","no","0","1","0"," 9","2"
"119","16","male","yes","0","1","0"," 0","3"
"120","15","male","yes","0","1","0"," 9","1"
"121","19","male","no","1","1","0"," 1","2"
"122","16","male","yes","1","1","0"," 1","1"
"123","17","male","yes","2","1","0"," 1","1"
"124","15","male","yes","0","1","0"," 9","1"
"125","19","male","no","0","1","0"," 1","1"
"126","17","male","yes","1","1","0"," 0","3"
"127","15","male","no","0","0","0"," 1","3"
"128","16","male","yes","0","1","0"," 0","2"
"129","15","male","yes","0","1","0"," 0","3"
"130","19","male","no","0","1","0"," 1","3"
"131","16","male","yes","0","1","0"," 1","1"
"132","16","male","no","0","1","0"," 3","1"
"133","19","male","no","0","1","0"," 0","0"
"134","17","male","yes","0","1","0"," 0","3"
"135","18","male","no","0","1","0"," 4","1"
"136","17","male","yes","0","1","0"," 0","3"
"137","18","male","yes","1","1","0"," 2","3"
"138","16","male","yes","0","1","0"," 0","1"
"139","18","male","no","1","1","0"," 2","3"
"140","17","male","yes","1","1","0"," 0","3"
"141","16","male","yes","0","1","0"," 1","1"
"142","18","male","no","0","1","0"," 3","0"
"143","15","male","yes","0","1","0"," 9","1"
"144","19","male","no","0","1","0"," 1","0"
"145","16","male","yes","2","1","0"," 1","1"
"146","19","male","no","0","1","1"," 1","3"
"147","15","male","no","0","1","0"," 0","3"
"148","18","male","no","1","1","0"," 1","2"
"149","19","male","yes","1","1","0","20","3"
"150","18","male","no","0","1","0"," 2","2"
"151","15","male","yes","1","1","0"," 0","3"
"152","17","male","no","0","1","0"," 9","2"
"153","19","male","no","0","1","0"," 8","0"
"154","16","male","yes","1","1","0"," 0","3"
"155","15","male","yes","0","1","0"," 1","1"
"156","19","male","no","0","1","0","11","1"
"157","17","male","yes","0","1","0"," 0","1"
"158","18","male","no","0","1","0"," 0","1"
"159","16","male","yes","0","1","0"," 1","3"
"160","18","male","no","0","1","0","18","1"
"161","17","male","yes","0","1","0"," 0","1"
"162","17","male","yes","0","1","0"," 0","2"
"163","19","male","no","0","1","0","16","2"
"164","15","male","yes","0","1","0"," 0","2"
"165","17","male","yes","0","1","0"," 0","2"
"166","18","male","yes","0","1","0","17","3"
"167","19","male","no","0","1","0","16","2"
"168","18","male","yes","2","1","0"," 0","2"
"169","16","male","yes","1","1","0"," 0","1"
"170","18","male","yes","0","1","0","22","2"
"171","16","male","yes","0","1","0"," 0","3"
"172","18","male","yes","0","1","0","17","3"
"173","16","male","yes","1","1","0"," 0","2"
"174","18","male","yes","0","1","0"," 3","2"
"175","17","male","no","0","1","0"," 1","2"
"176","16","male","yes","0","1","0"," 0","0"
"177","18","male","no","0","1","0"," 1","1"
"178","18","male","yes","0","1","0","17","3"
"179","17","male","yes","1","1","0"," 0","3"
"180","16","male","yes","0","1","0"," 0","0"
"181","17","male","no","0","1","0"," 9","2"
"182","18","male","no","0","1","0"," 2","0"
"183","19","male","yes","0","1","0","17","3"
"184","16","male","yes","1","1","0"," 0","1"
"185","18","male","no","1","1","0"," 2","1"
"186","19","male","yes","0","1","0"," 0","1"
"187","19","male","no","0","1","0","11","1"
"188","19","male","no","0","1","0"," 2","2"
"189","19","male","no","1","1","0"," 4","0"
"190","16","male","yes","1","1","0"," 1","3"
"191","16","male","yes","0","1","0"," 0","1"
"192","19","male","yes","0","1","0"," 3","0"
"193","18","male","no","0","1","0"," 1","0"
"194","19","male","no","2","1","0"," 8","3"
"195","18","male","no","0","1","1"," 4","0"
"196","17","male","yes","0","1","0"," 0","1"
"197","15","male","yes","1","1","0"," 0","3"
"198","15","male","yes","0","1","0"," 0","2"
"199","19","male","no","0","1","0"," 2","1"
"200","17","male","no","1","1","0"," 8","3"
"201","17","male","no","0","1","0","17","3"
"202","19","male","no","0","1","0"," 2","0"
"203","15","male","yes","0","1","0"," 1","1"
"204","17","male","yes","0","1","0"," 0","2"
"205","19","male","no","0","1","0"," 1","1"
"206","18","male","no","0","1","1"," 2","1"
"207","16","male","yes","0","1","0"," 0","3"
"208","16","male","yes","0","1","0"," 1","3"
"209","16","male","yes","0","1","0"," 1","2"
"210","19","male","no","0","0","0"," 3","0"
"211","15","male","yes","0","1","0"," 0","3"
"212","15","male","no","0","1","0","18","1"
"213","18","male","yes","0","1","0","17","3"
"214","17","male","no","0","1","0"," 1","2"
"215","16","male","yes","0","1","0"," 0","3"
"216","16","male","yes","0","1","0"," 0","3"
"217","16","male","yes","0","1","0"," 0","0"
"218","19","male","no","0","1","0"," 1","2"
"219","18","male","no","0","1","0"," 1","2"
"220","18","male","yes","1","1","0"," 2","2"
"221","19","male","yes","1","1","0"," 0","2"
"222","17","male","no","1","1","0"," 1","3"
"223","18","male","yes","0","1","0"," 1","3"
"224","16","male","yes","0","1","0"," 1","1"
"225","16","male","yes","0","1","0"," 0","1"
"226","17","male","yes","1","1","0"," 0","3"
"227","17","male","no","0","1","0"," 1","0"
"228","16","male","yes","0","1","0"," 0","3"
"229","15","male","yes","0","1","0"," 0","3"
"230","16","male","yes","0","1","0"," 0","3"
"231","17","male","yes","0","1","0"," 0","1"
"232","15","male","no","0","1","0"," 2","3"
"233","16","male","yes","0","1","0"," 0","2"
"234","16","male","yes","0","1","0"," 0","2"
"235","18","male","no","1","1","0"," 1","2"
"236","18","male","yes","0","1","0","22","2"
"237","18","male","yes","1","1","0"," 7","3"
"238","19","male","yes","0","1","0","17","3"
"239","15","male","yes","2","1","0"," 1","1"
"240","16","male","yes","0","1","0"," 0","2"
"241","19","male","no","0","0","0"," 2","0"
"242","19","male","no","0","1","0","11","1"
"243","17","male","yes","0","1","0"," 0","1"
"244","17","male","yes","1","1","0"," 0","3"
"245","17","male","yes","0","1","0"," 0","0"
"246","18","male","no","0","1","0"," 3","0"
"247","17","male","yes","1","1","0"," 0","2"
"248","18","male","no","1","1","0"," 1","2"
"249","19","male","no","0","1","0"," 8","0"
"250","16","male","yes","0","1","0"," 0","1"
"251","16","male","yes","0","1","0"," 0","2"
"252","19","male","yes","0","1","0"," 0","0"
"253","18","male","no","1","1","0"," 2","1"
"254","19","male","yes","0","1","0","17","3"
"255","15","male","no","0","1","0","17","3"
"256","15","male","yes","1","1","0"," 0","3"
"257","18","male","no","0","1","0"," 1","3"
"258","16","male","yes","0","1","0"," 0","3"
"259","16","male","no","0","1","0","12","0"
"260","16","male","no","0","1","0"," 2","1"
"261","18","male","no","0","1","0","15","3"
"262","15","male","yes","0","1","0"," 0","3"
"263","16","male","no","0","1","0","17","3"
"264","17","male","yes","0","1","0"," 1","3"
"265","19","male","yes","1","1","0"," 1","3"
"266","17","male","no","0","1","0","18","0"
"267","15","male","yes","0","1","0"," 0","2"
"268","15","male","no","0","1","0"," 0","1"
"269","17","male","yes","0","1","0"," 0","1"
"270","18","male","yes","0","1","0","17","3"
"271","19","male","yes","0","1","0"," 0","2"
"272","17","male","no","0","1","0","18","0"
"273","16","male","yes","0","1","0"," 0","3"
"274","17","male","no","0","1","0","17","3"
"275","17","male","yes","2","1","0"," 1","3"
"276","17","male","yes","0","1","0"," 0","1"
"277","18","male","yes","0","1","0"," 1","3"
"278","15","male","yes","0","1","0"," 0","1"
"279","19","male","yes","0","1","0"," 8","2"
"280","16","male","yes","0","1","0"," 2","2"
"281","17","male","no","0","1","0"," 2","0"
"282","18","male","no","0","1","0","15","3"
"283","16","male","yes","0","1","0"," 0","0"
"284","16","male","yes","0","1","0"," 1","2"
"285","18","male","yes","0","1","0"," 1","1"
"286","17","male","no","0","1","0"," 2","1"
"287","16","male","yes","0","1","0"," 0","1"
"288","18","male","yes","0","1","0","22","2"
"289","18","male","no","2","1","0"," 1","0"
"290","15","male","no","0","1","0","18","1"
"291","17","male","yes","0","1","0"," 0","1"
"292","18","male","no","1","1","0"," 1","2"
"293","19","male","no","0","1","0"," 1","0"
"294","19","male","no","0","1","0"," 8","0"
"295","16","male","yes","0","1","0"," 0","0"
"296","15","male","yes","0","1","0"," 0","3"
"297","18","male","yes","1","1","0"," 3","2"
"298","18","male","no","0","1","0","18","1"
"299","17","male","no","0","1","0"," 2","1"
"300","18","male","no","0","1","0","18","1"
"301","16","male","yes","0","1","0"," 0","3"
"302","17","male","no","0","1","0"," 1","1"
"303","15","male","yes","0","1","0"," 0","2"
"304","17","male","no","0","1","0"," 2","0"
"305","15","male","yes","0","1","0"," 0","3"
"306","18","male","yes","1","1","0","10","2"
"307","19","male","yes","1","1","0"," 3","2"
"308","18","male","no","0","0","0"," 7","1"
"309","16","male","yes","0","1","0"," 1","1"
"310","17","male","no","0","1","0"," 1","2"
"311","15","male","no","0","1","0","17","3"
"312","18","male","yes","0","1","0","22","2"
"313","16","male","yes","0","1","0"," 0","0"
"314","19","male","no","2","1","0"," 1","1"
"315","18","male","yes","0","1","0","17","3"
"316","18","male","no","0","1","0"," 1","2"
"317","17","male","no","0","1","0","17","3"
"318","16","male","no","0","1","0"," 0","0"
"319","16","male","no","0","1","0"," 5","3"
"320","16","male","yes","0","1","0"," 2","2"
"321","18","male","no","0","1","0"," 1","1"
"322","15","male","yes","0","1","0"," 0","0"
"323","15","male","yes","0","1","0"," 0","3"
"324","15","male","yes","1","1","0"," 0","2"
"325","17","male","yes","0","1","0"," 0","1"
"326","19","male","no","0","1","0"," 1","0"
"327","17","male","no","1","1","0"," 2","3"
"328","15","male","yes","0","1","0"," 0","0"
"329","18","male","no","1","1","0"," 9","3"
"330","16","male","yes","0","1","0"," 2","2"
"331","19","male","no","0","1","0"," 4","2"
"332","19","male","no","0","1","1"," 1","0"
"333","19","male","no","0","1","1"," 2","1"
"334","16","male","yes","2","1","0"," 0","0"
"335","16","male","yes","0","1","0"," 0","1"
"336","18","male","yes","0","1","0"," 1","3"
"337","18","male","no","0","1","0"," 1","1"
"338","16","male","no","0","1","0"," 0","0"
"339","18","male","no","0","1","0"," 1","0"
"340","16","male","yes","0","1","0"," 0","2"
"341","17","male","yes","0","1","0"," 1","2"
"342","17","male","yes","0","1","0"," 5","1"
"343","16","male","no","0","1","0","12","0"
"344","16","male","yes","1","1","0"," 0","3"
"345","19","male","yes","0","1","0"," 0","2"
"346","17","male","no","0","1","0"," 8","1"
"347","15","male","yes","2","1","0"," 1","0"
"348","18","male","no","0","0","0"," 1","0"
"349","15","male","yes","0","1","0"," 0","3"
"350","19","male","yes","0","1","0"," 0","1"
"351","17","male","yes","0","1","0"," 2","3"
"352","19","male","no","0","1","0"," 3","2"
"353","19","male","no","0","1","0","11","1"
"354","18","male","no","0","1","0","16","2"
"355","18","male","yes","1","1","0"," 7","3"
"356","19","male","yes","0","1","0"," 1","1"
"357","17","male","no","0","1","0","17","3"
"358","17","male","no","0","1","0"," 1","0"
"359","18","male","no","1","1","0","10","0"
"360","15","male","yes","0","1","0"," 2","1"
"361","19","male","no","0","1","0"," 2","1"
"362","18","male","yes","0","1","0","17","3"
"363","16","male","yes","0","1","0"," 0","1"
"364","19","male","yes","0","1","0","17","3"
"365","19","male","no","0","1","0"," 1","1"
"366","19","male","no","0","1","0"," 2","0"
"367","15","male","yes","0","1","0"," 0","2"
"368","18","male","no","0","1","0"," 1","2"
"369","18","male","yes","0","1","0","17","3"
"370","16","male","no","0","1","0"," 1","0"
"371","19","male","no","1","1","0"," 1","3"
"372","15","male","yes","0","1","0"," 0","2"
"373","18","male","no","0","1","0","13","0"
"374","18","male","yes","1","1","0"," 7","3"
"375","16","male","yes","0","1","0"," 0","2"
"376","18","male","no","0","1","0"," 1","2"
"377","19","male","no","0","1","0"," 7","0"
"378","16","male","yes","1","1","0"," 0","3"
"379","18","male","no","0","1","0"," 3","1"
"380","15","male","yes","0","1","0"," 0","3"
"381","17","male","no","0","1","0"," 1","3"
"382","17","male","yes","0","1","0"," 0","1"
"383","18","male","yes","0","1","0","17","0"
"384","17","male","yes","0","1","0"," 0","0"
"385","18","male","yes","0","1","0","10","1"
"386","15","male","no","0","1","0","17","3"
"387","19","male","no","0","1","0","11","1"
"388","19","male","no","0","1","0"," 1","2"
"389","19","male","no","1","1","0"," 2","2"
"390","19","male","no","0","1","1"," 1","0"
"391","18","male","no","1","1","0"," 7","0"
"392","16","male","no","0","1","0","18","1"
"393","18","male","yes","0","1","0"," 1","3"
"394","19","male","no","1","1","0"," 7","3"
"395","19","male","no","0","1","0"," 1","1"
"396","15","male","yes","0","1","0"," 1","2"
"397","17","male","yes","0","1","0"," 0","2"
"398","17","male","yes","0","1","0"," 0","3"
"399","19","male","no","0","1","0"," 2","3"
"400","19","male","no","0","1","0"," 2","2"
"401","18","male","no","0","1","0"," 0","2"
"402","15","male","no","2","1","0","15","0"
"403","19","male","no","0","1","0"," 3","0"
"404","19","male","no","0","1","0"," 8","0"
"405","19","male","no","2","1","0"," 1","0"
"406","16","male","no","0","1","0","18","1"
"407","19","male","no","1","1","0"," 2","1"
"408","18","male","no","0","1","0","18","1"
"409","17","male","no","1","1","0","20","2"
"410","19","male","no","2","1","0","15","0"
"411","15","male","yes","0","1","0"," 0","2"
"412","15","male","yes","0","1","0"," 2","1"
"413","16","male","yes","2","1","0"," 2","0"
"414","16","male","yes","1","1","0"," 0","0"
"415","19","male","yes","1","1","0","20","3"
"416","19","male","no","0","1","0"," 1","1"
"417","18","male","no","1","1","0"," 0","0"
"418","16","male","yes","1","1","0"," 0","2"
"419","16","male","yes","0","1","0"," 0","3"
"420","17","male","no","1","1","0"," 8","3"
"421","15","male","no","0","1","0","18","1"
"422","15","male","yes","1","1","0"," 0","2"
"423","18","male","yes","0","1","0","17","3"
"424","18","male","yes","0","1","0"," 0","3"
"425","19","male","no","0","1","0"," 1","1"
"426","16","male","yes","0","1","0"," 0","3"
"427","18","male","no","2","1","1"," 3","0"
"428","19","male","no","0","1","0","11","1"
"429","19","male","no","0","1","1"," 2","0"
"430","18","male","no","1","1","0"," 1","0"
"431","18","male","no","0","1","0","18","1"
"432","19","male","yes","0","1","0"," 3","2"
"433","17","male","yes","0","1","0"," 0","1"
"434","17","male","no","0","1","0"," 4","3"
"435","16","male","yes","0","1","0"," 0","1"
"436","18","male","yes","2","1","0"," 1","3"
"437","16","male","no","0","1","0","18","1"
"438","15","male","yes","0","1","0"," 0","0"
"439","18","male","yes","2","1","0"," 1","3"
"440","17","male","no","0","1","0"," 0","1"
"441","19","male","no","0","1","0"," 0","0"
"442","15","male","yes","2","1","0"," 3","3"
"443","15","male","no","0","1","0","10","0"
"444","18","male","no","0","1","0","13","0"
"445","15","male","yes","0","1","0"," 9","1"
"446","15","male","yes","0","1","0"," 0","0"
"447","17","male","no","1","1","0"," 2","1"
"448","19","male","yes","1","1","0","20","2"
"449","15","male","no","0","1","0"," 0","2"
"450","18","male","yes","0","1","0","17","0"
"451","19","male","yes","0","1","0"," 0","1"
"452","18","male","yes","1","1","0"," 1","3"
"453","16","male","no","0","1","0","18","1"
"454","17","male","yes","2","1","0"," 1","3"
"455","18","male","no","1","1","0"," 3","3"
"456","16","male","yes","0","1","0"," 0","1"
"457","19","male","no","0","1","0"," 1","3"
"458","17","male","yes","0","1","0"," 1","0"
"459","17","male","yes","0","1","0"," 1","3"
"460","15","male","yes","0","1","0"," 1","2"
"461","19","male","no","0","1","0","11","1"
"462","16","male","no","0","1","0","12","0"
"463","18","male","yes","0","1","0","10","1"
"464","17","male","yes","1","1","0"," 0","1"
"465","19","male","yes","0","1","0","17","3"
"466","16","male","no","0","1","0"," 1","0"
"467","16","male","yes","1","1","0"," 0","1"
"468","16","male","yes","1","1","0"," 0","3"
"469","16","male","yes","1","1","0"," 2","1"
"470","16","male","no","0","1","0","18","1"
"471","16","male","yes","1","1","0"," 0","1"
"472","19","male","no","0","1","0"," 1","3"
"473","18","male","no","0","1","0"," 2","1"
"474","17","male","no","0","1","0"," 3","1"
"475","17","male","yes","0","1","0"," 0","2"
"476","15","male","yes","0","1","0"," 2","3"
"477","15","male","yes","0","1","0"," 0","2"
"478","19","male","no","0","1","0","15","1"
"479","18","male","yes","0","1","0","17","3"
"480","17","male","no","0","1","0"," 2","3"
"481","17","male","yes","0","1","0"," 2","0"
"482","16","male","yes","0","1","0"," 1","1"
"483","16","male","no","0","1","0","18","1"
"484","16","male","no","1","1","0"," 1","2"
"485","15","male","yes","1","1","0"," 0","3"
"486","18","male","no","0","1","0"," 2","2"
"487","17","male","no","1","1","0"," 1","3"
"488","18","male","no","0","1","0","13","0"
"489","15","male","yes","0","1","0"," 9","1"
"490","16","male","no","0","1","0"," 0","0"
"491","17","male","yes","0","1","0"," 0","3"
"492","15","male","no","0","0","0"," 0","3"
"493","17","male","no","0","1","0"," 1","1"
"494","16","male","yes","2","1","0"," 1","3"
"495","17","male","no","0","1","0"," 1","1"
"496","16","male","yes","0","1","0"," 0","3"
"497","19","male","no","0","1","0"," 0","1"
"498","18","male","no","0","1","0","15","3"
"499","19","male","yes","1","1","0","20","3"
"500","19","male","no","0","1","0"," 1","0"
"501","16","male","yes","0","1","0"," 0","2"
"502","18","male","no","0","1","0"," 1","0"
"503","17","male","no","1","1","0"," 1","2"
"504","16","male","no","0","1","0"," 2","1"
"505","17","male","no","1","1","0"," 2","2"
"506","16","male","yes","0","1","0"," 1","3"
"507","18","male","no","0","1","0"," 5","0"
"508","19","male","yes","0","1","0"," 0","1"
"509","19","male","no","0","0","0"," 3","2"
"510","18","male","no","0","1","0"," 2","1"
"511","18","male","no","0","1","0","13","0"
"512","17","male","yes","0","0","0"," 0","3"
"513","18","male","no","0","1","0","13","0"
"514","16","male","yes","0","1","0"," 0","1"
"515","19","male","yes","1","1","0"," 1","2"
"516","15","male","yes","0","1","0"," 2","0"
"517","19","male","no","1","1","1"," 1","3"
"518","18","male","yes","0","1","0"," 1","3"
"519","15","male","yes","0","1","0"," 0","3"
"520","16","male","yes","0","1","0"," 0","3"
"521","18","male","yes","1","1","0"," 7","3"
"522","19","male","no","0","1","1"," 3","0"
"523","17","male","no","0","1","0"," 2","0"
"524","16","male","no","0","1","0","12","0"
"525","19","male","no","0","1","0","11","1"
"526","18","male","yes","2","1","0"," 1","2"
"527","15","male","yes","0","1","0"," 1","3"
"528","19","male","no","0","1","0","17","3"
"529","15","male","no","1","0","0"," 0","0"
"530","15","male","yes","2","1","0"," 1","2"
"531","19","male","no","0","1","0"," 8","0"
"532","18","male","yes","0","1","0","17","3"
"533","17","male","no","2","1","0"," 5","2"
"534","17","male","no","0","1","0"," 4","1"
"535","19","male","no","0","1","1"," 1","3"
"536","19","male","no","0","1","0"," 1","1"
"537","15","male","yes","0","1","0"," 0","2"
"538","16","male","yes","0","1","0"," 0","0"
"539","15","male","yes","0","1","0"," 0","0"
"540","18","male","yes","0","1","0","22","2"
"541","19","male","yes","1","1","0","20","3"
"542","18","male","no","1","1","0"," 2","3"
"543","16","male","no","0","1","0","16","2"
"544","18","male","yes","0","1","0","22","2"
"545","18","male","no","0","1","0","18","1"
"546","19","male","no","1","1","0"," 2","2"
"547","19","male","no","0","1","0"," 2","1"
"548","19","male","no","0","1","0"," 2","2"
"549","19","male","no","1","1","1"," 2","0"
"550","17","male","yes","0","1","0"," 0","0"
"551","19","male","no","0","1","0"," 1","2"
"552","17","male","yes","1","1","0"," 0","2"
"553","17","male","yes","0","1","0"," 0","1"
"554","16","male","yes","1","1","0"," 1","3"
"555","15","male","yes","0","1","0"," 0","2"
"556","16","male","yes","1","1","0"," 0","0"
"557","19","male","yes","0","1","0"," 1","3"
"558","18","male","no","0","1","0","15","3"
"559","16","male","no","0","1","0"," 0","0"
"560","19","male","yes","0","1","0"," 1","2"
"561","19","male","yes","0","1","0"," 1","3"
"562","17","male","yes","0","1","0"," 0","0"
"563","18","male","yes","2","1","0"," 1","3"
"564","19","male","no","0","1","0"," 0","0"
"565","16","male","yes","0","1","0"," 1","3"
"566","16","male","yes","0","1","0"," 0","1"
"567","16","male","yes","0","1","0"," 0","1"
"568","17","male","no","0","1","0"," 1","2"
"569","16","male","no","0","1","0"," 2","2"
"570","16","male","yes","0","1","0"," 0","3"
"571","15","male","yes","1","1","0"," 0","3"
"572","16","male","yes","0","1","0"," 0","2"
"573","15","male","yes","2","1","0"," 1","1"
"574","17","male","no","1","1","0"," 1","3"
"575","18","male","yes","1","1","0"," 2","1"
"576","19","male","yes","0","1","0"," 2","2"
"577","19","male","yes","0","1","0"," 0","1"
"578","16","male","no","0","1","0","12","0"
"579","16","male","yes","0","1","0"," 1","2"
"580","18","male","no","0","1","0","16","2"
"581","15","male","yes","0","1","0"," 1","2"
"582","17","male","no","0","1","0"," 2","1"
"583","19","male","no","1","1","0"," 2","2"
"584","18","male","yes","0","1","0","22","2"
"585","18","male","no","0","1","0"," 1","2"
"586","16","male","no","0","1","0"," 1","3"
"587","16","male","no","0","1","0","16","2"
"588","17","male","yes","0","1","0"," 1","3"
"589","16","male","no","0","1","0","16","2"
"590","17","male","no","0","1","0","17","3"
"591","17","male","yes","0","1","0"," 0","0"
"592","15","male","yes","0","1","0"," 0","3"
"593","17","male","yes","0","1","0"," 1","1"
"594","17","male","yes","1","1","0"," 0","3"
"595","19","male","no","0","1","0"," 1","0"
"596","15","male","no","1","1","0"," 0","3"
"597","15","male","yes","0","1","0"," 0","3"
"598","19","male","no","2","1","0"," 2","0"
"599","18","male","no","0","0","1"," 1","0"
"600","18","male","yes","1","1","0"," 0","1"
"601","19","male","no","0","1","0"," 1","2"
"602","18","male","yes","0","1","0"," 5","1"
"603","15","male","no","0","1","0"," 1","2"
"604","15","male","yes","0","1","0"," 0","3"
"605","18","male","yes","0","1","0","10","1"
"606","16","male","no","0","1","0","12","0"
"607","18","male","yes","0","1","0"," 1","1"
"608","19","male","no","0","1","0"," 2","2"
"609","19","male","yes","0","1","0"," 0","0"
"610","19","male","no","0","1","0"," 2","0"
"611","15","male","yes","0","1","0"," 0","0"
"612","18","male","no","0","1","0"," 0","0"
"613","18","male","yes","1","1","0"," 7","3"
"614","15","male","yes","1","1","0"," 0","2"
"615","18","male","yes","0","1","0","10","1"
"616","19","male","no","0","1","0"," 2","1"
"617","18","male","no","0","1","0"," 1","2"
"618","15","male","yes","0","1","0"," 9","1"
"619","15","male","yes","0","1","0"," 0","2"
"620","16","male","no","0","1","0","12","0"
"621","16","male","yes","0","1","0"," 0","1"
"622","16","male","yes","0","1","0"," 0","3"
"623","18","male","no","0","1","0"," 1","1"
"624","17","male","no","0","1","0"," 5","0"
"625","18","male","no","0","1","0","13","0"
"626","18","male","no","0","1","0"," 2","1"
"627","19","male","yes","0","1","0"," 0","2"
"628","18","male","yes","0","1","0","17","3"
